image_path,crop_path,buffer_name,group_type,sample_name,replicate_id,tc_conc_uM,otc_conc_uM,ctc_conc_uM,roi_mean_r,roi_mean_g,roi_mean_b,roi_std_r,roi_std_g,roi_std_b,hsv_mean_h,hsv_mean_s,hsv_mean_v,hsv_std_h,hsv_std_s,hsv_std_v,lab_mean_l,lab_mean_a,lab_mean_b,lab_std_l,lab_std_a,lab_std_b,pixel_count,kept_pixel_count,status,warning,roi_profile_name,preview_path,error_message
"binary/T=5_binary_0,12,48.jpg","cropped_cuvettes/T=5/binary/T=5_binary_0,12,48.png",T=5,binary,binary_TC0_OTC12_CTC48,R1,0,12,48,143.9281768798828,147.84246826171875,155.329833984375,9.544118881225586,9.536920547485352,9.890186309814453,109.64581298828125,18.754926681518555,155.329833984375,2.779486894607544,1.9750844240188599,9.890186309814453,156.03131103515625,127.93344116210938,123.59617614746094,9.260420799255371,0.6891043782234192,0.5373714566230774,18078,16542,ok,,default_roi,"previews/T=5/binary/T=5_binary_0,12,48.png",
"binary/T=5_binary_0,12,48_1.jpg","cropped_cuvettes/T=5/binary/T=5_binary_0,12,48_1.png",T=5,binary,binary_TC0_OTC12_CTC48,R2,0,12,48,146.5016632080078,149.73829650878906,157.39297485351562,9.111480712890625,9.447189331054688,9.636709213256836,111.2838363647461,17.65964698791504,157.39297485351562,4.360123634338379,2.45373797416687,9.636709213256836,158.0143280029297,128.30081176757812,123.61752319335938,9.047019958496094,0.9532122015953064,0.7574941515922546,17399,15907,ok,,default_roi,"previews/T=5/binary/T=5_binary_0,12,48_1.png",
"binary/T=5_binary_0,12,48_2.jpg","cropped_cuvettes/T=5/binary/T=5_binary_0,12,48_2.png",T=5,binary,binary_TC0_OTC12_CTC48,R3,0,12,48,143.97608947753906,147.43299865722656,155.3437957763672,9.075033187866211,9.374768257141113,9.790199279785156,111.03816223144531,18.657499313354492,155.3437957763672,4.014482498168945,2.614149570465088,9.790199279785156,155.7665252685547,128.29473876953125,123.46682739257812,9.014557838439941,0.9236465692520142,0.823925256729126,17802,16143,ok,,default_roi,"previews/T=5/binary/T=5_binary_0,12,48_2.png",
"binary/T=5_binary_0,18,42.jpg","cropped_cuvettes/T=5/binary/T=5_binary_0,18,42.png",T=5,binary,binary_TC0_OTC18_CTC42,R1,0,18,42,145.87135314941406,155.9129180908203,167.0196990966797,9.352179527282715,9.74981689453125,9.619665145874023,105.58349609375,32.359188079833984,167.0196990966797,1.3348101377487183,2.3457915782928467,9.619665145874023,162.8559112548828,126.69941711425781,120.97152709960938,9.385000228881836,0.6609746217727661,0.8253686428070068,17802,16192,ok,,default_roi,"previews/T=5/binary/T=5_binary_0,18,42.png",
"binary/T=5_binary_0,18,42_1.jpg","cropped_cuvettes/T=5/binary/T=5_binary_0,18,42_1.png",T=5,binary,binary_TC0_OTC18_CTC42,R2,0,18,42,145.47157287597656,155.4413604736328,165.77520751953125,9.268604278564453,9.803325653076172,9.587834358215332,105.18256378173828,31.27873420715332,165.77520751953125,1.9424916505813599,2.3540332317352295,9.587834358215332,162.38760375976562,126.54112243652344,121.47212982177734,9.349494934082031,0.8673562407493591,0.787196695804596,17802,16148,ok,,default_roi,"previews/T=5/binary/T=5_binary_0,18,42_1.png",
"binary/T=5_binary_0,18,42_2.jpg","cropped_cuvettes/T=5/binary/T=5_binary_0,18,42_2.png",T=5,binary,binary_TC0_OTC18_CTC42,R3,0,18,42,145.04904174804688,155.2694549560547,165.8250732421875,9.17844295501709,9.670105934143066,9.25181770324707,105.12846374511719,32.022987365722656,165.8250732421875,1.9615867137908936,2.7184255123138428,9.25181770324707,162.18634033203125,126.52361297607422,121.2784652709961,9.273756980895996,0.8956709504127502,0.937644898891449,17673,15966,ok,,default_roi,"previews/T=5/binary/T=5_binary_0,18,42_2.png",
"binary/T=5_binary_0,30,30.jpg","cropped_cuvettes/T=5/binary/T=5_binary_0,30,30.png",T=5,binary,binary_TC0_OTC30_CTC30,R1,0,30,30,151.52249145507812,168.9391326904297,184.76344299316406,10.907940864562988,11.11877155303955,11.337013244628906,104.50321960449219,46.01432800292969,184.76344299316406,0.8539575934410095,2.4420242309570312,11.337013244628906,174.41085815429688,125.32073211669922,117.99223327636719,10.58654499053955,0.4848480820655823,0.41216298937797546,18216,16609,ok,,default_roi,"previews/T=5/binary/T=5_binary_0,30,30.png",
"binary/T=5_binary_0,30,30_1.jpg","cropped_cuvettes/T=5/binary/T=5_binary_0,30,30_1.png",T=5,binary,binary_TC0_OTC30_CTC30,R2,0,30,30,150.24562072753906,168.19894409179688,183.96469116210938,10.414078712463379,10.683664321899414,10.725995063781738,104.079345703125,46.86922073364258,183.96469116210938,1.3517839908599854,3.0060269832611084,10.725995063781738,173.62513732910156,125.17091369628906,117.89212799072266,10.113962173461914,0.9063060879707336,0.7555043697357178,18078,16371,ok,,default_roi,"previews/T=5/binary/T=5_binary_0,30,30_1.png",
"binary/T=5_binary_0,30,30_2.jpg","cropped_cuvettes/T=5/binary/T=5_binary_0,30,30_2.png",T=5,binary,binary_TC0_OTC30_CTC30,R3,0,30,30,149.60867309570312,167.7170867919922,182.75547790527344,10.695352554321289,10.817034721374512,10.92939281463623,103.6785659790039,46.387779235839844,182.75547790527344,1.2809474468231201,2.941258430480957,10.92939281463623,173.0948486328125,124.98577880859375,118.27491760253906,10.276824951171875,0.8255013823509216,0.7260575294494629,18070,16383,ok,,default_roi,"previews/T=5/binary/T=5_binary_0,30,30_2.png",
"binary/T=5_binary_0,42,18.jpg","cropped_cuvettes/T=5/binary/T=5_binary_0,42,18.png",T=5,binary,binary_TC0_OTC42_CTC18,R1,0,42,18,147.550048828125,178.2221221923828,198.83447265625,9.838767051696777,10.4678316116333,10.988203048706055,102.1462631225586,65.87513732910156,198.83447265625,0.5210464000701904,2.5892531871795654,10.988203048706055,181.3330078125,122.14933013916016,114.02741241455078,9.787856101989746,0.4523681402206421,0.38766470551490784,17947,16306,ok,,default_roi,"previews/T=5/binary/T=5_binary_0,42,18.png",
