buffer_name,feature_prefix,sample_name,replicate_id,group_type,tc_conc_uM,otc_conc_uM,ctc_conc_uM,roi_mean_r,roi_mean_g,roi_mean_b,roi_std_r,roi_std_g,roi_std_b,pixel_count,kept_pixel_count,status,warning,source_csv,source_image_path,source_crop_path
T=8,tris8,binary_TC0_OTC30_CTC30,R2,binary,0,30,30,153.28404235839844,220.41482543945312,218.98745727539065,12.831459999084473,15.385821342468262,14.899826049804688,17947,16262,ok,,D:/Desktop/Distinguish_TC/project_data_t8/rgb_results/rgb_results.csv,"binary/T=8_binary_0,30,30_1.jpg","cropped_cuvettes/T=8/binary/T=8_binary_0,30,30_1.png"
water,water,binary_TC0_OTC30_CTC30,R2,binary,0,30,30,180.4542999,200.7413025,217.4888153,11.56181526,12.72479057,13.51559734,17152,15505,ok,,D:/Desktop/Distinguish_TC/project_data/rgb_results/rgb_results.csv,"binary/water_binary_0,30,30_1.jpg","cropped_cuvettes/water/binary/water_binary_0,30,30_1.png"
T=8,tris8,binary_TC0_OTC30_CTC30,R3,binary,0,30,30,153.0623779296875,220.4170379638672,219.00900268554688,12.945907592773438,15.43525218963623,14.830215454101562,17947,16224,ok,,D:/Desktop/Distinguish_TC/project_data_t8/rgb_results/rgb_results.csv,"binary/T=8_binary_0,30,30_2.jpg","cropped_cuvettes/T=8/binary/T=8_binary_0,30,30_2.png"
water,water,binary_TC0_OTC30_CTC30,R3,binary,0,30,30,181.9442291,201.9051361,218.1906586,11.79354668,12.70753288,13.1092453,17408,15834,ok,,D:/Desktop/Distinguish_TC/project_data/rgb_results/rgb_results.csv,"binary/water_binary_0,30,30_2.jpg","cropped_cuvettes/water/binary/water_binary_0,30,30_2.png"
T=8,tris8,binary_TC0_OTC42_CTC18,R1,binary,0,42,18,144.45066833496094,224.8092498779297,224.0539703369141,9.303534507751465,12.0184965133667,11.518365859985352,17947,16398,ok,,D:/Desktop/Distinguish_TC/project_data_t8/rgb_results/rgb_results.csv,"binary/T=8_binary_0,42,18.jpg","cropped_cuvettes/T=8/binary/T=8_binary_0,42,18.png"
water,water,binary_TC0_OTC42_CTC18,R1,binary,0,42,18,172.0977325,203.1981659,224.2310791,10.81728745,11.66857529,12.21435928,17544,15921,ok,,D:/Desktop/Distinguish_TC/project_data/rgb_results/rgb_results.csv,"binary/water_binary_0,42,18.jpg","cropped_cuvettes/water/binary/water_binary_0,42,18.png"
T=8,tris8,binary_TC0_OTC42_CTC18,R2,binary,0,42,18,133.36300659179688,209.0404052734375,208.17613220214844,7.692400455474853,9.712581634521484,9.925111770629885,17816,16187,ok,,D:/Desktop/Distinguish_TC/project_data_t8/rgb_results/rgb_results.csv,"binary/T=8_binary_0,42,18_1.jpg","cropped_cuvettes/T=8/binary/T=8_binary_0,42,18_1.png"
water,water,binary_TC0_OTC42_CTC18,R2,binary,0,42,18,172.9116974,203.863266,224.443161,10.65090656,11.50306892,11.93637848,17000,15446,ok,,D:/Desktop/Distinguish_TC/project_data/rgb_results/rgb_results.csv,"binary/water_binary_0,42,18_1.jpg","cropped_cuvettes/water/binary/water_binary_0,42,18_1.png"
T=8,tris8,binary_TC0_OTC42_CTC18,R3,binary,0,42,18,120.50015258789062,190.9916534423828,190.79571533203125,6.990964889526367,8.096630096435547,7.850342273712158,17816,16179,ok,,D:/Desktop/Distinguish_TC/project_data_t8/rgb_results/rgb_results.csv,"binary/T=8_binary_0,42,18_2.jpg","cropped_cuvettes/T=8/binary/T=8_binary_0,42,18_2.png"
water,water,binary_TC0_OTC42_CTC18,R3,binary,0,42,18,169.079071,200.6877136,220.9824829,11.11493778,11.96748829,12.15547752,17544,15921,ok,,D:/Desktop/Distinguish_TC/project_data/rgb_results/rgb_results.csv,"binary/water_binary_0,42,18_2.jpg","cropped_cuvettes/water/binary/water_binary_0,42,18_2.png"
