sample_name,replicate_id,group_type,tc_conc_uM,otc_conc_uM,ctc_conc_uM,expected_buffers,available_buffers,ok_buffers,missing_buffers,failed_buffers,warning_buffers,duplicate_buffers,qc_status
binary_TC54_OTC6_CTC0,R3,binary,54,6,0,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC6_OTC0_CTC54,R1,binary,6,0,54,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC6_OTC0_CTC54,R2,binary,6,0,54,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC6_OTC0_CTC54,R3,binary,6,0,54,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC6_OTC54_CTC0,R1,binary,6,54,0,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC6_OTC54_CTC0,R2,binary,6,54,0,"water,T=8","T=8,water","T=8,water",,,,,ready
binary_TC6_OTC54_CTC0,R3,binary,6,54,0,"water,T=8","T=8,water","T=8,water",,,,,ready
blank_TC0_OTC0_CTC0,R1,blank,0,0,0,"water,T=8","T=8,water","T=8,water",,,,,ready
blank_TC0_OTC0_CTC0,R2,blank,0,0,0,"water,T=8","T=8,water","T=8,water",,,,,ready
blank_TC0_OTC0_CTC0,R3,blank,0,0,0,"water,T=8","T=8,water","T=8,water",,,,,ready
single_TC0_OTC0_CTC60,R1,single,0,0,60,"water,T=8","T=8,water","T=8,water",,,,,ready
single_TC0_OTC0_CTC60,R2,single,0,0,60,"water,T=8","T=8,water","T=8,water",,,,,ready
single_TC0_OTC0_CTC60,R3,single,0,0,60,"water,T=8","T=8,water","T=8,water",,,,,ready
single_TC0_OTC60_CTC0,R1,single,0,60,0,"water,T=8","T=8,water","T=8,water",,,,,ready
single_TC0_OTC60_CTC0,R2,single,0,60,0,"water,T=8","T=8,water","T=8,water",,,,,ready
single_TC0_OTC60_CTC0,R3,single,0,60,0,"water,T=8","T=8,water","T=8,water",,,,,ready
single_TC60_OTC0_CTC0,R1,single,60,0,0,"water,T=8","T=8,water","T=8,water",,,,,ready
single_TC60_OTC0_CTC0,R2,single,60,0,0,"water,T=8","T=8,water","T=8,water",,,,,ready
single_TC60_OTC0_CTC0,R3,single,60,0,0,"water,T=8","T=8,water","T=8,water",,,,,ready
ternary_TC18_OTC36_CTC6,R1,ternary,18,36,6,"water,T=8","T=8,water","T=8,water",,,,,ready
ternary_TC18_OTC36_CTC6,R2,ternary,18,36,6,"water,T=8","T=8,water","T=8,water",,,,,ready
ternary_TC18_OTC36_CTC6,R3,ternary,18,36,6,"water,T=8","T=8,water","T=8,water",,,,,ready
ternary_TC18_OTC6_CTC36,R1,ternary,18,6,36,"water,T=8","T=8,water","T=8,water",,,,,ready
ternary_TC18_OTC6_CTC36,R2,ternary,18,6,36,"water,T=8","T=8,water","T=8,water",,,,,ready
ternary_TC18_OTC6_CTC36,R3,ternary,18,6,36,"water,T=8","T=8,water","T=8,water",,,,,ready
ternary_TC20_OTC20_CTC20,R1,ternary,20,20,20,"water,T=8","T=8,water","T=8,water",,,,,ready
ternary_TC20_OTC20_CTC20,R2,ternary,20,20,20,"water,T=8","T=8,water","T=8,water",,,,,ready
ternary_TC20_OTC20_CTC20,R3,ternary,20,20,20,"water,T=8","T=8,water","T=8,water",,,,,ready
ternary_TC36_OTC18_CTC6,R1,ternary,36,18,6,"water,T=8","T=8,water","T=8,water",,,,,ready
ternary_TC36_OTC18_CTC6,R2,ternary,36,18,6,"water,T=8","T=8,water","T=8,water",,,,,ready
ternary_TC36_OTC18_CTC6,R3,ternary,36,18,6,"water,T=8","T=8,water","T=8,water",,,,,ready
ternary_TC36_OTC6_CTC18,R1,ternary,36,6,18,"water,T=8","T=8,water","T=8,water",,,,,ready
ternary_TC36_OTC6_CTC18,R2,ternary,36,6,18,"water,T=8","T=8,water","T=8,water",,,,,ready
ternary_TC36_OTC6_CTC18,R3,ternary,36,6,18,"water,T=8","T=8,water","T=8,water",,,,,ready
ternary_TC48_OTC6_CTC6,R1,ternary,48,6,6,"water,T=8","T=8,water","T=8,water",,,,,ready
ternary_TC48_OTC6_CTC6,R2,ternary,48,6,6,"water,T=8","T=8,water","T=8,water",,,,,ready
ternary_TC48_OTC6_CTC6,R3,ternary,48,6,6,"water,T=8","T=8,water","T=8,water",,,,,ready
ternary_TC6_OTC18_CTC36,R1,ternary,6,18,36,"water,T=8","T=8,water","T=8,water",,,,,ready
ternary_TC6_OTC18_CTC36,R2,ternary,6,18,36,"water,T=8","T=8,water","T=8,water",,,,,ready
ternary_TC6_OTC18_CTC36,R3,ternary,6,18,36,"water,T=8","T=8,water","T=8,water",,,,,ready
ternary_TC6_OTC36_CTC18,R1,ternary,6,36,18,"water,T=8","T=8,water","T=8,water",,,,,ready
ternary_TC6_OTC36_CTC18,R2,ternary,6,36,18,"water,T=8","T=8,water","T=8,water",,,,,ready
ternary_TC6_OTC36_CTC18,R3,ternary,6,36,18,"water,T=8","T=8,water","T=8,water",,,,,ready
ternary_TC6_OTC48_CTC6,R1,ternary,6,48,6,"water,T=8","T=8,water","T=8,water",,,,,ready
ternary_TC6_OTC48_CTC6,R2,ternary,6,48,6,"water,T=8","T=8,water","T=8,water",,,,,ready
ternary_TC6_OTC48_CTC6,R3,ternary,6,48,6,"water,T=8","T=8,water","T=8,water",,,,,ready
ternary_TC6_OTC6_CTC48,R1,ternary,6,6,48,"water,T=8","T=8,water","T=8,water",,,,,ready
ternary_TC6_OTC6_CTC48,R2,ternary,6,6,48,"water,T=8","T=8,water","T=8,water",,,,,ready
ternary_TC6_OTC6_CTC48,R3,ternary,6,6,48,"water,T=8","T=8,water","T=8,water",,,,,ready
