random_seed,train_rows,test_rows,train_groups,test_groups,macro_f1,exact_match_ratio,hamming_loss,tc_precision,tc_recall,tc_f1,otc_precision,otc_recall,otc_f1,ctc_precision,ctc_recall,ctc_f1
0,84,21,28,7,0.7882882882882883,0.3333333333333333,0.2698412698412698,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8421052631578947,0.8888888888888888,0.8648648648648649,0.8333333333333334,0.8333333333333334,0.8333333333333334
1,84,21,28,7,0.8496732026143791,0.47619047619047616,0.1746031746031746,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.7894736842105263,1.0,0.8823529411764706,1.0,1.0,1.0
2,84,21,28,7,0.8977272727272726,0.5238095238095238,0.15873015873015872,0.8333333333333334,1.0,0.9090909090909091,0.8235294117647058,0.9333333333333333,0.8749999999999999,1.0,0.8333333333333334,0.9090909090909091
3,84,21,28,7,0.9333333333333335,0.7142857142857143,0.09523809523809523,1.0,1.0,1.0,0.8,0.8,0.8000000000000002,1.0,1.0,1.0
4,84,21,28,7,0.9016884531590414,0.5714285714285714,0.14285714285714285,1.0,0.8888888888888888,0.9411764705882353,1.0,0.7777777777777778,0.8750000000000001,1.0,0.8,0.888888888888889
5,84,21,28,7,0.7712121212121213,0.3333333333333333,0.30158730158730157,0.7,0.5833333333333334,0.6363636363636365,0.8,0.6666666666666666,0.7272727272727272,1.0,0.9047619047619048,0.9500000000000001
6,84,21,28,7,0.8330962541488857,0.5238095238095238,0.15873015873015872,0.5,0.5555555555555556,0.5263157894736842,1.0,1.0,1.0,0.9473684210526315,1.0,0.972972972972973
7,84,21,28,7,0.8949096880131363,0.6190476190476191,0.12698412698412698,0.8571428571428571,0.8,0.8275862068965518,0.75,1.0,0.8571428571428571,1.0,1.0,1.0
8,84,21,28,7,0.9172932330827068,0.6666666666666666,0.1111111111111111,1.0,0.8095238095238095,0.8947368421052632,0.75,1.0,0.8571428571428571,1.0,1.0,1.0
9,84,21,28,7,0.8869731800766284,0.47619047619047616,0.1746031746031746,0.7142857142857143,1.0,0.8333333333333333,0.7058823529411765,1.0,0.8275862068965517,1.0,1.0,1.0
10,84,21,28,7,0.8214285714285715,0.47619047619047616,0.2222222222222222,0.625,0.8333333333333334,0.7142857142857143,1.0,1.0,1.0,1.0,0.6,0.7499999999999999
11,84,21,28,7,0.7884615384615384,0.3333333333333333,0.2698412698412698,0.5294117647058824,1.0,0.6923076923076924,0.8571428571428571,1.0,0.923076923076923,1.0,0.6,0.7499999999999999
12,84,21,28,7,0.8434065934065934,0.5714285714285714,0.19047619047619047,0.75,1.0,0.8571428571428571,0.8571428571428571,1.0,0.923076923076923,1.0,0.6,0.7499999999999999
13,84,21,28,7,0.8268398268398269,0.42857142857142855,0.19047619047619047,0.5,0.6666666666666666,0.5714285714285715,1.0,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091
14,84,21,28,7,0.9231361231361231,0.6666666666666666,0.1111111111111111,1.0,0.9444444444444444,0.9714285714285714,0.8,1.0,0.888888888888889,1.0,0.8333333333333334,0.9090909090909091
15,84,21,28,7,0.9606879606879607,0.8095238095238095,0.06349206349206349,0.9473684210526315,1.0,0.972972972972973,1.0,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091
